route_id,direction_letter,stop_id_orig,stop_name_orig,avg_station_time_orig,num_trips,stop_id_dest,stop_name_dest,avg_station_time_dest,lag_time,route_list,full_name_orig,route_color,keep
M,N,G14N,Jackson Hts-Roosevelt Av,3731.25,24,G08N,Forest Hills-71 Av,4411.36363636364,00:11:20.113636,E/F/M/R,Jackson Hts-Roosevelt Av E/F/M/R,#EB6800,1
M,S,D17S,34 St-Herald Sq,2023.84615384615,26,D20S,W 4 St-Wash Sq,2356.8,00:05:32.953846,B/D/F/M,34 St-Herald Sq B/D/F/M,#EB6800,1
M,S,G08S,Forest Hills-71 Av,0,30,D15S,47-50 Sts-Rockefeller Ctr,1823.33333333333,00:30:23.333333,F/M,Forest Hills-71 Av F/M,#EB6800,1
M,S,G08S,Forest Hills-71 Av,0,30,D20S,W 4 St-Wash Sq,2356.8,00:39:16.800000,F/M,Forest Hills-71 Av F/M,#EB6800,1
M,S,G08S,Forest Hills-71 Av,0,30,G14S,Jackson Hts-Roosevelt Av,611.379310344828,00:10:11.379310,E/F/M/R,Forest Hills-71 Av E/F/M/R,#EB6800,1
M,S,G14S,Jackson Hts-Roosevelt Av,611.379310344828,29,D15S,47-50 Sts-Rockefeller Ctr,1823.33333333333,00:20:11.954023,F/M,Jackson Hts-Roosevelt Av F/M,#EB6800,1
M,S,G14S,Jackson Hts-Roosevelt Av,611.379310344828,29,D20S,W 4 St-Wash Sq,2356.8,00:29:05.420690,F/M,Jackson Hts-Roosevelt Av F/M,#EB6800,1
N,N,R14N,57 St-7 Av,3510,22,B08N,Lexington Av/63 St,3600,00:01:30.000000,N/Q,57 St-7 Av N/Q,#F6BC26,1
N,N,R16N,Times Sq-42 St,3275.21739130435,23,B08N,Lexington Av/63 St,3600,00:05:24.782609,N/Q,Times Sq-42 St N/Q,#F6BC26,0
N,N,R16N,Times Sq-42 St,3275.21739130435,23,R14N,57 St-7 Av,3510,00:03:54.782609,N/Q/R/W,Times Sq-42 St N/Q/R/W,#F6BC26,1
N,N,R20N,14 St-Union Sq,2967.5,24,B08N,Lexington Av/63 St,3600,00:10:32.500000,N/Q,14 St-Union Sq N/Q,#F6BC26,0
N,N,R20N,14 St-Union Sq,2967.5,24,R14N,57 St-7 Av,3510,00:09:02.500000,N/Q/R/W,14 St-Union Sq N/Q/R/W,#F6BC26,1
N,N,R20N,14 St-Union Sq,2967.5,24,R17N,34 St-Herald Sq,3151.30434782609,00:03:03.804348,N/Q/R/W,14 St-Union Sq N/Q/R/W,#F6BC26,1
N,N,R36N,36 St,1583.07692307692,26,R14N,57 St-7 Av,3510,00:32:06.923077,N/R,36 St N/R,#F6BC26,1
N,N,R36N,36 St,1583.07692307692,26,R17N,34 St-Herald Sq,3151.30434782609,00:26:08.227425,N/R,36 St N/R,#F6BC26,1
N,N,R36N,36 St,1583.07692307692,26,R31N,Atlantic Av-Barclays Ctr,1922.30769230769,00:05:39.230769,D/N/R,36 St D/N/R,#F6BC26,1
N,N,R41N,59 St,1308.88888888889,27,R14N,57 St-7 Av,3510,00:36:41.111111,N/R,59 St N/R,#F6BC26,1
N,N,R41N,59 St,1308.88888888889,27,R17N,34 St-Herald Sq,3151.30434782609,00:30:42.415459,N/R,59 St N/R,#F6BC26,1
N,N,R41N,59 St,1308.88888888889,27,R31N,Atlantic Av-Barclays Ctr,1922.30769230769,00:10:13.418803,N/R,59 St N/R,#F6BC26,1
N,N,R41N,59 St,1308.88888888889,27,R36N,36 St,1583.07692307692,00:04:34.188034,N/R,59 St N/R,#F6BC26,0
N,S,R14S,57 St-7 Av,1141.07142857143,28,R16S,Times Sq-42 St,1345.55555555556,00:03:24.484127,N/Q/R/W,57 St-7 Av N/Q/R/W,#F6BC26,1
N,S,R14S,57 St-7 Av,1141.07142857143,28,R20S,14 St-Union Sq,1621.15384615385,00:08:00.082418,N/Q/R/W,57 St-7 Av N/Q/R/W,#F6BC26,1
N,S,R14S,57 St-7 Av,1141.07142857143,28,R31S,Atlantic Av-Barclays Ctr,2548.8,00:23:27.728571,N/R/W,57 St-7 Av N/R/W,#F6BC26,1
N,S,R14S,57 St-7 Av,1141.07142857143,28,R36S,36 St,2910,00:29:28.928571,N/R/W,57 St-7 Av N/R/W,#F6BC26,1
N,S,R14S,57 St-7 Av,1141.07142857143,28,R41S,59 St,3120,00:32:58.928571,N/R,57 St-7 Av N/R,#F6BC26,1
N,S,R17S,34 St-Herald Sq,1474.44444444444,27,R20S,14 St-Union Sq,1621.15384615385,00:02:26.709402,N/Q/R/W,34 St-Herald Sq N/Q/R/W,#F6BC26,1
N,S,R17S,34 St-Herald Sq,1474.44444444444,27,R31S,Atlantic Av-Barclays Ctr,2548.8,00:17:54.355556,N/R/W,34 St-Herald Sq N/R/W,#F6BC26,1
N,S,R17S,34 St-Herald Sq,1474.44444444444,27,R36S,36 St,2910,00:23:55.555556,N/R/W,34 St-Herald Sq N/R/W,#F6BC26,1
N,S,R17S,34 St-Herald Sq,1474.44444444444,27,R41S,59 St,3120,00:27:25.555556,N/R,34 St-Herald Sq N/R,#F6BC26,1
N,S,R31S,Atlantic Av-Barclays Ctr,2548.8,25,R36S,36 St,2910,00:06:01.200000,D/N/R,Atlantic Av-Barclays Ctr D/N/R,#F6BC26,1
N,S,R31S,Atlantic Av-Barclays Ctr,2548.8,25,R41S,59 St,3120,00:09:31.200000,N/R,Atlantic Av-Barclays Ctr N/R,#F6BC26,1
N,S,R36S,36 St,2910,24,R41S,59 St,3120,00:03:30.000000,N/R,36 St N/R,#F6BC26,1
Q,N,D28N,Church Av,1538.57142857143,28,D26N,Prospect Park,1718.57142857143,00:03:00.000000,B/Q,Church Av B/Q,#F6BC26,1
Q,N,D31N,Newkirk Plaza,1280.35714285714,28,D26N,Prospect Park,1718.57142857143,00:07:18.214286,B/Q,Newkirk Plaza B/Q,#F6BC26,1
Q,N,D31N,Newkirk Plaza,1280.35714285714,28,D28N,Church Av,1538.57142857143,00:04:18.214286,B/Q,Newkirk Plaza B/Q,#F6BC26,1
Q,N,D35N,Kings Hwy,765.51724137931,29,D26N,Prospect Park,1718.57142857143,00:15:53.054187,B/Q,Kings Hwy B/Q,#F6BC26,1
Q,N,D35N,Kings Hwy,765.51724137931,29,D28N,Church Av,1538.57142857143,00:12:53.054187,B/Q,Kings Hwy B/Q,#F6BC26,1
Q,N,D35N,Kings Hwy,765.51724137931,29,D31N,Newkirk Plaza,1280.35714285714,00:08:34.839901,B/Q,Kings Hwy B/Q,#F6BC26,1
Q,N,D39N,Sheepshead Bay,456.774193548387,31,D26N,Prospect Park,1718.57142857143,00:21:01.797235,B/Q,Sheepshead Bay B/Q,#F6BC26,1
Q,N,D39N,Sheepshead Bay,456.774193548387,31,D28N,Church Av,1538.57142857143,00:18:01.797235,B/Q,Sheepshead Bay B/Q,#F6BC26,1
Q,N,D39N,Sheepshead Bay,456.774193548387,31,D31N,Newkirk Plaza,1280.35714285714,00:13:43.582949,B/Q,Sheepshead Bay B/Q,#F6BC26,1
Q,N,D39N,Sheepshead Bay,456.774193548387,31,D35N,Kings Hwy,765.51724137931,00:05:08.743048,B/Q,Sheepshead Bay B/Q,#F6BC26,1
Q,N,R14N,57 St-7 Av,3427.5,24,B08N,Lexington Av/63 St,3612.5,00:03:05.000000,N/Q,57 St-7 Av N/Q,#F6BC26,1
Q,N,R16N,Times Sq-42 St,3245,24,B08N,Lexington Av/63 St,3612.5,00:06:07.500000,N/Q,Times Sq-42 St N/Q,#F6BC26,0
Q,N,R16N,Times Sq-42 St,3245,24,R14N,57 St-7 Av,3427.5,00:03:02.500000,N/Q/R/W,Times Sq-42 St N/Q/R/W,#F6BC26,1
Q,N,R20N,14 St-Union Sq,2968.8,25,B08N,Lexington Av/63 St,3612.5,00:10:43.700000,N/Q,14 St-Union Sq N/Q,#F6BC26,0
Q,N,R20N,14 St-Union Sq,2968.8,25,R14N,57 St-7 Av,3427.5,00:07:38.700000,N/Q/R/W,14 St-Union Sq N/Q/R/W,#F6BC26,1
Q,N,R20N,14 St-Union Sq,2968.8,25,R17N,34 St-Herald Sq,3152.5,00:03:03.700000,N/Q/R/W,14 St-Union Sq N/Q/R/W,#F6BC26,1
Q,S,D26S,Prospect Park,2282.14285714286,28,D28S,Church Av,2462.14285714286,00:03:00.000000,B/Q,Prospect Park B/Q,#F6BC26,1
Q,S,D26S,Prospect Park,2282.14285714286,28,D31S,Newkirk Plaza,2702.22222222222,00:07:00.079365,B/Q,Prospect Park B/Q,#F6BC26,1
Q,S,D26S,Prospect Park,2282.14285714286,28,D35S,Kings Hwy,3108.46153846154,00:13:46.318681,B/Q,Prospect Park B/Q,#F6BC26,1
Q,S,D26S,Prospect Park,2282.14285714286,28,D39S,Sheepshead Bay,3408.46153846154,00:18:46.318681,B/Q,Prospect Park B/Q,#F6BC26,1
Q,S,D28S,Church Av,2462.14285714286,28,D31S,Newkirk Plaza,2702.22222222222,00:04:00.079365,B/Q,Church Av B/Q,#F6BC26,0
Q,S,D28S,Church Av,2462.14285714286,28,D35S,Kings Hwy,3108.46153846154,00:10:46.318681,B/Q,Church Av B/Q,#F6BC26,1
Q,S,D28S,Church Av,2462.14285714286,28,D39S,Sheepshead Bay,3408.46153846154,00:15:46.318681,B/Q,Church Av B/Q,#F6BC26,1
Q,S,D31S,Newkirk Plaza,2702.22222222222,27,D35S,Kings Hwy,3108.46153846154,00:06:46.239316,B/Q,Newkirk Plaza B/Q,#F6BC26,1
